timestamp,value,ground_truth,predicted
1735702200000,0,0,0
1735704000000,0,0,0
1735707600000,1,0,0
1735713000000,3,0,0
1735714800000,0,0,0
1735716600000,3,0,0
1735718400000,7,0,0
1735720200000,10,0,0
1735722000000,28,0,0
1735723800000,38,0,0
1735725600000,36,0,0
1735727400000,56,0,0
1735729200000,47,0,0
1735731000000,48,0,0
1735732800000,44,0,0
1735734600000,37,0,0
1735736400000,45,0,0
1735738200000,44,0,0
1735740000000,47,0,0
1735741800000,27,0,0
1735743600000,41,0,0
1735745400000,19,0,0
1735747200000,20,0,0
1735749000000,18,0,0
1735750800000,12,0,0
1735752600000,14,0,0
1735754400000,5,0,0
1735756200000,3,0,0
1735763400000,2,0,0
1735765200000,1,0,0
1735767000000,1,0,0
1735768800000,1,0,0
1735770600000,1,0,0
1735772400000,3,0,0
1735774200000,1,0,0
1735776000000,2,0,0
1735777800000,3,0,0
1735779600000,1,0,0
1735781400000,1,0,0
1735788600000,2,0,0
1735790400000,4,0,0
1735792200000,6,0,0
1735794000000,17,0,0
1735795800000,15,0,0
1735797600000,20,0,0
1735799400000,26,0,0
1735801200000,38,0,0
1735803000000,76,0,0
1735804800000,110,0,0
1735806600000,193,0,0
1735808400000,185,0,0
1735810200000,204,0,0
1735812000000,218,0,0
1735813800000,198,0,0
1735815600000,183,0,0
1735817400000,176,0,0
1735819200000,193,0,0
1735821000000,172,0,0
1735822800000,179,0,0
1735824600000,142,0,0
1735826400000,152,0,0
1735828200000,141,0,0
1735830000000,155,0,0
1735831800000,143,0,0
1735833600000,152,0,0
1735835400000,116,0,0
1735837200000,79,0,0
1735839000000,64,0,0
1735840800000,37,0,0
1735842600000,23,0,0
1735844400000,22,0,0
1735846200000,12,0,0
1735848000000,1,0,0
1735849800000,1,0,0
1735851600000,3,0,0
1735853400000,1,0,0
1735855200000,2,0,0
1735857000000,6,0,0
1735858800000,6,0,0
1735860600000,11,0,0
1735862400000,3,0,0
1735866000000,2,0,0
1735867800000,3,0,0
1735869600000,5,0,0
1735871400000,7,0,0
1735873200000,4,0,0
1735875000000,7,0,0
1735876800000,12,0,0
1735878600000,17,0,0
1735880400000,21,0,0
1735882200000,32,0,0
1735884000000,40,0,0
1735885800000,75,0,0
1735887600000,91,0,0
1735889400000,153,0,0
1735891200000,211,0,0
1735893000000,297,0,0
1735894800000,308,0,0
1735896600000,372,0,0
1735898400000,324,0,0
1735900200000,320,0,0
1735902000000,275,0,0
1735903800000,241,0,0
1735905600000,242,0,0
1735907400000,232,0,0
1735909200000,231,0,0
1735911000000,216,0,0
1735912800000,220,0,0
1735914600000,241,0,0
1735916400000,213,0,0
1735918200000,250,0,0
1735920000000,199,0,0
1735921800000,142,0,0
1735923600000,136,0,0
1735925400000,94,0,0
1735927200000,83,0,0
1735929000000,38,0,0
1735930800000,29,0,0
1735932600000,27,0,0
1735934400000,2,0,0
1735936200000,6,0,0
1735938000000,2,0,0
1735939800000,4,0,0
1735941600000,2,0,0
1735943400000,2,0,0
1735945200000,5,0,0
1735947000000,5,0,0
1735948800000,3,0,0
1735950600000,3,0,0
1735952400000,3,0,0
1735954200000,3,0,0
1735956000000,8,0,0
1735959600000,3,0,0
1735961400000,9,0,0
1735963200000,5,0,0
1735965000000,8,0,0
1735966800000,20,0,0
1735968600000,36,0,0
1735970400000,43,0,0
1735972200000,78,0,0
1735974000000,111,0,0
1735975800000,150,0,0
1735977600000,230,0,0
1735979400000,297,0,0
1735981200000,293,0,0
1735983000000,306,0,0
1735984800000,294,0,0
1735986600000,316,0,0
1735988400000,283,0,0
1735990200000,266,0,0
1735992000000,244,0,0
1735993800000,272,0,0
1735995600000,249,0,0
1735997400000,262,0,0
1735999200000,214,0,0
1736001000000,221,0,0
1736002800000,219,0,0
1736004600000,232,0,0
1736006400000,194,0,0
1736008200000,166,0,0
1736010000000,126,0,0
1736011800000,84,0,0
1736013600000,72,0,0
1736015400000,42,0,0
1736017200000,30,0,0
1736019000000,18,0,0
1736020800000,6,0,0
1736022600000,3,0,0
1736024400000,6,0,0
1736026200000,5,0,0
1736028000000,3,0,0
1736029800000,6,0,0
1736031600000,6,0,0
1736033400000,3,0,0
1736035200000,5,0,0
1736037000000,2,0,0
1736038800000,4,0,0
1736040600000,4,0,0
1736042400000,4,0,0
1736044200000,7,0,0
1736046000000,5,0,0
1736047800000,4,0,0
1736049600000,10,0,0
1736051400000,12,0,0
1736053200000,22,0,0
1736055000000,32,0,0
1736056800000,51,0,0
1736058600000,62,0,0
1736060400000,100,0,0
1736062200000,165,0,0
1736064000000,208,0,0
1736065800000,282,0,0
1736067600000,311,0,0
1736069400000,276,0,0
1736071200000,303,0,0
1736073000000,292,0,0
1736074800000,272,0,0
1736076600000,264,0,0
1736078400000,242,0,0
1736080200000,218,0,0
1736082000000,224,0,0
1736083800000,228,0,0
1736085600000,232,0,0
1736087400000,204,0,0
1736089200000,218,0,0
1736091000000,191,0,0
1736092800000,177,0,0
1736094600000,163,0,0
1736096400000,123,0,0
1736098200000,103,0,0
1736100000000,63,0,0
1736101800000,36,0,0
1736103600000,28,0,0
1736105400000,11,0,0
1736107200000,6,0,0
1736109000000,2,0,0
1736110800000,4,0,0
1736112600000,3,0,0
1736114400000,4,0,0
1736116200000,8,0,0
1736118000000,7,0,0
1736119800000,6,0,0
1736121600000,3,0,0
1736123400000,1,0,0
1736125200000,2,0,0
1736127000000,3,0,0
1736128800000,6,0,0
1736130600000,6,0,0
1736132400000,3,0,0
1736134200000,7,0,0
1736136000000,7,0,0
1736137800000,23,0,0
1736139600000,29,0,0
1736141400000,35,0,0
1736143200000,54,0,0
1736145000000,71,0,0
1736146800000,88,0,0
1736148600000,185,0,0
1736150400000,204,0,0
1736152200000,234,0,0
1736154000000,293,0,0
1736155800000,302,0,0
1736157600000,321,0,0
1736159400000,310,0,0
1736161200000,298,0,0
1736163000000,271,0,0
1736164800000,273,0,0
1736166600000,250,0,0
1736168400000,244,0,0
1736170200000,204,0,0
1736172000000,247,0,0
1736173800000,235,0,0
1736175600000,193,0,0
1736177400000,183,0,0
